abs	[#number#]abs(<#mixed $number#>)
cairo_pattern_create_rgba	[#CairoPattern#]cairo_pattern_create_rgba(<#float $red#>,<#float $green#>,<#float $blue#>,<#float $alpha#>)
cairo_pattern_create_rgb	[#CairoPattern#]cairo_pattern_create_rgb(<#float $red#>,<#float $green#>,<#float $blue#>)
cairo_pattern_get_color_stop_count	[#int#]cairo_pattern_get_color_stop_count(<#CairoGradientPattern $pattern#>)
cairo_pattern_get_color_stop_rgba	[#array#]cairo_pattern_get_color_stop_rgba(<#CairoGradientPattern $pattern#>,<#int $index#>)
cairo_pattern_get_extend	[#int#]cairo_pattern_get_extend(<#string $pattern#>)
cairo_pattern_get_filter	[#int#]cairo_pattern_get_filter(<#CairoSurfacePattern $pattern#>)
cairo_pattern_get_linear_points	[#array#]cairo_pattern_get_linear_points(<#CairoLinearGradient $pattern#>)
cairo_pattern_get_matrix	[#CairoMatrix#]cairo_pattern_get_matrix(<#CairoPattern $pattern#>)
cairo_pattern_get_radial_circles	[#array#]cairo_pattern_get_radial_circles(<#CairoRadialGradient $pattern#>)
cairo_pattern_get_rgba	[#array#]cairo_pattern_get_rgba(<#CairoSolidPattern $pattern#>)
cairo_pattern_get_surface	[#CairoSurface#]cairo_pattern_get_surface(<#CairoSurfacePattern $pattern#>)
cairo_pattern_get_type	[#int#]cairo_pattern_get_type(<#CairoPattern $pattern#>)
cairo_pattern_set_extend	[#void#]cairo_pattern_set_extend(<#string $pattern#>,<#string $extend#>)
cairo_pattern_set_filter	[#void#]cairo_pattern_set_filter(<#CairoSurfacePattern $pattern#>,<#int $filter#>)
cairo_pattern_set_matrix	[#void#]cairo_pattern_set_matrix(<#CairoPattern $pattern#>,<#CairoMatrix $matrix#>)
cairo_pattern_status	[#int#]cairo_pattern_status(<#CairoPattern $pattern#>)
cairo_pdf_surface_create	[#CairoPdfSurface#]cairo_pdf_surface_create(<#string $file#>,<#float $width#>,<#float $height#>)
cairo_pdf_surface_set_size	[#void#]cairo_pdf_surface_set_size(<#CairoPdfSurface $surface#>,<#float $width#>,<#float $height#>)
cairo_ps_get_levels	[#array#]cairo_ps_get_levels()
cairo_ps_level_to_string	[#string#]cairo_ps_level_to_string(<#int $level#>)
cairo_ps_surface_create	[#CairoPsSurface#]cairo_ps_surface_create(<#string $file#>,<#float $width#>,<#float $height#>)
cairo_ps_surface_dsc_begin_page_setup	[#void#]cairo_ps_surface_dsc_begin_page_setup(<#CairoPsSurface $surface#>)
cairo_ps_surface_dsc_begin_setup	[#void#]cairo_ps_surface_dsc_begin_setup(<#CairoPsSurface $surface#>)
cairo_ps_surface_dsc_comment	[#void#]cairo_ps_surface_dsc_comment(<#CairoPsSurface $surface#>,<#string $comment#>)
cairo_ps_surface_get_eps	[#bool#]cairo_ps_surface_get_eps(<#CairoPsSurface $surface#>)
cairo_ps_surface_restrict_to_level	[#void#]cairo_ps_surface_restrict_to_level(<#CairoPsSurface $surface#>,<#int $level#>)
cairo_ps_surface_set_eps	[#void#]cairo_ps_surface_set_eps(<#CairoPsSurface $surface#>,<#bool $level#>)
cairo_ps_surface_set_size	[#void#]cairo_ps_surface_set_size(<#CairoPsSurface $surface#>,<#float $width#>,<#float $height#>)
cairo_scaled_font_create	[#CairoScaledFont#]cairo_scaled_font_create(<#CairoFontFace $fontface#>,<#CairoMatrix $matrix#>,<#CairoMatrix $ctm#>,<#CairoFontOptions $fontoptions#>)
cairo_scaled_font_extents	[#array#]cairo_scaled_font_extents(<#CairoScaledFont $scaledfont#>)
cairo_scaled_font_get_ctm	[#CairoMatrix#]cairo_scaled_font_get_ctm(<#CairoScaledFont $scaledfont#>)
cairo_scaled_font_get_font_face	[#CairoFontFace#]cairo_scaled_font_get_font_face(<#CairoScaledFont $scaledfont#>)
cairo_scaled_font_get_font_matrix	[#CairoFontOptions#]cairo_scaled_font_get_font_matrix(<#CairoScaledFont $scaledfont#>)
cairo_scaled_font_get_font_options	[#CairoFontOptions#]cairo_scaled_font_get_font_options(<#CairoScaledFont $scaledfont#>)
cairo_scaled_font_get_scale_matrix	[#CairoMatrix#]cairo_scaled_font_get_scale_matrix(<#CairoScaledFont $scaledfont#>)
cairo_scaled_font_get_type	[#int#]cairo_scaled_font_get_type(<#CairoScaledFont $scaledfont#>)
cairo_scaled_font_glyph_extents	[#array#]cairo_scaled_font_glyph_extents(<#CairoScaledFont $scaledfont#>,<#array $glyphs#>)
cairo_scaled_font_status	[#int#]cairo_scaled_font_status(<#CairoScaledFont $scaledfont#>)
cairo_scaled_font_text_extents	[#array#]cairo_scaled_font_text_extents(<#CairoScaledFont $scaledfont#>,<#string $text#>)
cairo_surface_copy_page	[#void#]cairo_surface_copy_page(<#CairoSurface $surface#>)
cairo_surface_create_similar	[#CairoSurface#]cairo_surface_create_similar(<#CairoSurface $surface#>,<#int $content#>,<#float $width#>,<#float $height#>)
cairo_surface_finish	[#void#]cairo_surface_finish(<#CairoSurface $surface#>)
cairo_surface_flush	[#void#]cairo_surface_flush(<#CairoSurface $surface#>)
cairo_surface_get_content	[#int#]cairo_surface_get_content(<#CairoSurface $surface#>)
cairo_surface_get_device_offset	[#array#]cairo_surface_get_device_offset(<#CairoSurface $surface#>)
cairo_surface_get_font_options	[#CairoFontOptions#]cairo_surface_get_font_options(<#CairoSurface $surface#>)
cairo_surface_get_type	[#int#]cairo_surface_get_type(<#CairoSurface $surface#>)
cairo_surface_mark_dirty_rectangle	[#void#]cairo_surface_mark_dirty_rectangle(<#CairoSurface $surface#>,<#float $x#>,<#float $y#>,<#float $width#>,<#float $height#>)
cairo_surface_mark_dirty	[#void#]cairo_surface_mark_dirty(<#CairoSurface $surface#>)
cairo_surface_set_device_offset	[#void#]cairo_surface_set_device_offset(<#CairoSurface $surface#>,<#float $x#>,<#float $y#>)
cairo_surface_set_fallback_resolution	[#void#]cairo_surface_set_fallback_resolution(<#CairoSurface $surface#>,<#float $x#>,<#float $y#>)
cairo_surface_show_page	[#void#]cairo_surface_show_page(<#CairoSurface $surface#>)
cairo_surface_status	[#int#]cairo_surface_status(<#CairoSurface $surface#>)
cairo_surface_write_to_png	[#void#]cairo_surface_write_to_png(<#CairoSurface $surface#>,<#resource $stream#>)
cairo_svg_surface_create	[#CairoSvgSurface#]cairo_svg_surface_create(<#string $file#>,<#float $width#>,<#float $height#>)
cairo_svg_surface_restrict_to_version	[#void#]cairo_svg_surface_restrict_to_version(<#CairoSvgSurface $surface#>,<#int $version#>)
cairo_svg_version_to_string	[#string#]cairo_svg_version_to_string(<#int $version#>)
calculhmac	[#string#]calculhmac(<#string $clent#>,<#string $data#>)
calcul_hmac	[#string#]calcul_hmac(<#string $clent#>,<#string $siretcode#>,<#string $price#>,<#string $reference#>,<#string $validity#>,<#string $taxation#>,<#string $devise#>,<#string $language#>)
cal_days_in_month	[#int#]cal_days_in_month(<#int $calendar#>,<#int $month#>,<#int $year#>)
cal_from_jd	[#array#]cal_from_jd(<#int $jd#>,<#int $calendar#>)
cal_info	[#array#]cal_info(<#int $calendar#>)
call_user_func_array	[#mixed#]call_user_func_array(<#callable $callback#>,<#array $param_arr#>)
call_user_func	[#mixed#]call_user_func(<#callable $callback#>,<#mixed $parameter#>,<#mixed $...#>)
call_user_method_array	[#mixed#]call_user_method_array(<#string $method_name#>,<#object &$obj#>,<#array $paramarr#>)
call_user_method	[#mixed#]call_user_method(<#string $method_name#>,<#object &$obj#>,<#mixed $parameter#>,<#mixed $...#>)
cal_to_jd	[#int#]cal_to_jd(<#int $calendar#>,<#int $month#>,<#int $day#>,<#int $year#>)
ceil	[#float#]ceil(<#float $value#>)
chdb_create	[#bool#]chdb_create(<#string $pathname#>,<#array $data#>)
chdir	[#bool#]chdir(<#string $directory#>)
checkdate	[#bool#]checkdate(<#int $month#>,<#int $day#>,<#int $year#>)
checkdnsrr	[#bool#]checkdnsrr(<#string $host#>,<#string $type#>)
chgrp	[#bool#]chgrp(<#string $filename#>,<#mixed $group#>)
chmod	[#bool#]chmod(<#string $filename#>,<#int $mode#>)
chown	[#bool#]chown(<#string $filename#>,<#mixed $user#>)
chroot	[#bool#]chroot(<#string $directory#>)
chr	[#string#]chr(<#int $ascii#>)
chunk_split	[#string#]chunk_split(<#string $body#>,<#int $chunklen#>,<#string $end#>)
class_alias	[#bool#]class_alias(<#string $original#>,<#string $alias#>,<#bool $autoload#>)
class_exists	[#bool#]class_exists(<#string $class_name#>,<#bool $autoload#>)
class_implements	[#array#]class_implements(<#mixed $class#>,<#bool $autoload#>)
classkit_import	[#array#]classkit_import(<#string $filename#>)
